id,lat,lng,group2
9470,57.6511,14.8043,S+E
9471,56.0648,13.9707,N+K
9476,55.5796,14.3336,S+E
9481,55.4242,13.8484,N+K
9503,55.8877,-3.21072,N+K
9506,40.11,-7.47,S+E
9507,38.45,-7.5,N+K
9508,40.04,-7.11,S+E
9509,39.29,-7.4,N+K
9510,38.75,-7.59,S+E
9511,38.53,-8.02,S+E
9512,38.22,-7.84,S+E
9513,38.77,-4.07,S+E
9514,39.15,-4.54,N+K
9515,39.72,-6.89,N+K
9517,42.19,-7.8,S+E
9518,39.88,-0.36,N+K
9519,41.94,2.64,N+K
9520,41.7,-3.68,N+K
9521,41.43,2.13,N+K
9522,36.52,-5.27,N+K
9523,38.37,-2.66,N+K
9524,42.52,-0.56,N+K
9525,42.49,0.54,S+E
9526,41.54,2.39,N+K
9527,40.37,-5.74,S+E
9528,40.94,-1.37,S+E
9529,36.97,-3.36,N+K
9530,38.25,-4.32,S+E
9531,41.21,-4.54,N+K
9532,42.23,-4.64,N+K
9533,41.15,-4.32,S+E
9534,40.05,-4.65,S+E
9535,42.31,3.19,N+K
9536,40.83,-2.0,S+E
9537,38.07,-6.66,N+K
9539,40.29,-6.67,N+K
9540,41.81,2.34,N+K
9541,38.26,-5.42,N+K
9542,40.79,-4.05,S+E
9543,36.77,-5.39,S+E
9544,39.4,-5.33,N+K
9545,39.4,-5.78,N+K
9546,40.82,-1.68,S+E
9547,41.67,2.62,N+K
9548,40.4,-5.0,N+K
9549,42.23,-3.69,S+E
9550,43.05,-5.37,S+E
9551,42.28,-5.92,N+K
9552,40.87,-4.5,N+K
9553,41.58,-4.71,N+K
9554,38.86,-3.16,S+E
9555,39.58,-3.93,S+E
9556,39.66,-4.34,N+K
9557,42.46,0.7,S+E
9558,41.57,-5.64,N+K
9559,38.06,-4.38,S+E
9560,38.19,-6.24,N+K
9561,40.71,-5.04,N+K
9562,41.67,2.0,N+K
9564,40.45,-1.6,S+E
9565,42.97,-1.23,N+K
9567,42.34,1.3,S+E
9568,42.76,-0.23,S+E
9569,42.87,-6.45,S+E
9571,43.28,-6.01,N+K
9573,41.86,2.99,N+K
9574,38.6,-2.7,N+K
9576,40.86,-4.11,S+E
9577,42.34,2.17,S+E
9578,42.13,-6.7,S+E
9579,38.33,-3.51,S+E
9581,42.84,-5.12,S+E
9582,41.48,-1.63,S+E
9583,37.09,-3.38,S+E
9584,41.19,-3.58,S+E
9585,43.4,-7.39,N+K
9586,41.03,-3.27,N+K
9587,41.5,-1.88,N+K
9588,42.11,0.6,S+E
9589,41.6,-2.83,S+E
9590,43.37,-5.49,S+E
9591,42.86,-3.59,S+E
9592,42.1,-5.44,N+K
9593,42.26,-2.99,S+E
9594,42.04,1.01,N+K
9595,40.89,-5.5,S+E
9596,41.95,-7.45,S+E
9597,42.31,-2.53,N+K
9598,41.88,-6.51,S+E
9599,42.8,-5.77,S+E
9600,39.85,-6.04,N+K
9601,41.85,-1.88,N+K
9602,40.5,-3.96,N+K
9606,31.48,-7.45,N+K
9607,53.05,52.15,S+E
9608,51.37,59.44,S+E
9609,51.41,59.98,N+K
9610,53.04,51.96,S+E
9611,53.04,51.9,S+E
9612,53.04,51.94,S+E
9613,55.36,61.41,S+E
9615,52.99,52.16,S+E
9616,53.06,51.96,S+E
9617,51.37,59.44,S+E
9619,51.84,79.48,S+E
9620,51.82,79.48,S+E
9621,51.84,79.46,S+E
9622,52.52,85.27,S+E
9624,53.6,79.37,S+E
9625,51.31,82.59,N+K
9626,51.36,82.59,S+E
9627,51.32,82.55,S+E
9628,51.33,82.54,S+E
9629,51.35,82.18,S+E
9630,51.34,82.16,S+E
9631,51.65,80.79,S+E
9632,51.67,80.82,S+E
9633,51.63,80.83,S+E
9634,54.13,81.31,S+E
9635,51.87,80.6,S+E
9636,51.75,80.82,S+E
9637,51.77,80.85,N+K
9638,51.73,80.86,S+E
9639,53.82,80.31,S+E
9640,51.87,80.06,S+E
9641,51.9,80.06,S+E
9642,51.84,80.06,S+E
9643,52.1,79.31,S+E
9644,45.07,18.72,S+E
9645,45.17,18.7,S+E
9646,39.126899,16.170188,N+K
9647,40.37,16.77,N+K
9648,39.48,16.28,N+K
9649,39.13,16.17,N+K
9651,40.68,14.87,N+K
9653,38.44,16.13,N+K
9655,38.92,16.47,N+K
9656,40.64,17.31,N+K
9657,38.45,16.04,N+K
9658,38.97,16.34,N+K
9659,41.18,14.18,S+E
9660,40.84,14.57,N+K
9661,39.58,16.21,N+K
9663,41.33,14.09,N+K
9664,46.366,11.2832,S+E
9665,46.366,11.2832,S+E
9666,46.366,11.2832,N+K
9667,46.366,11.2832,N+K
9668,46.3668,11.2837,N+K
9669,46.3668,11.2837,N+K
9670,46.3668,11.2837,S+E
9671,46.3668,11.2837,N+K
9672,46.3668,11.2837,N+K
9673,46.3668,11.2837,N+K
9676,46.3718,11.2866,S+E
9677,46.3718,11.2866,S+E
9678,46.3718,11.2866,S+E
9679,46.3378,11.2928,S+E
9680,46.3378,11.2928,S+E
9681,46.3378,11.2928,S+E
9682,46.3378,11.2928,S+E
9683,46.3378,11.2928,S+E
9684,46.3378,11.2928,S+E
9685,46.3378,11.2928,S+E
9686,46.3378,11.2928,N+K
9687,46.3378,11.2928,S+E
9689,46.3378,11.2928,N+K
9690,46.3378,11.2928,N+K
9691,46.3378,11.2928,N+K
9692,46.3378,11.2928,N+K
9693,46.3378,11.2928,N+K
9694,46.3378,11.2928,N+K
9695,46.3378,11.2928,N+K
9696,46.3378,11.2928,S+E
9697,41.62,23.94,S+E
9698,41.57,23.85,S+E
9699,41.37,23.14,N+K
9700,42.32,23.1,N+K
9701,43.7,25.91,N+K
9703,41.53,23.39,N+K
9704,41.53,23.39,N+K
9705,41.5,23.33,N+K
9706,41.64,24.18,N+K
9707,41.57,24.84,N+K
9708,41.62,25.35,S+E
9709,41.85,23.13,N+K
9710,41.85,23.13,N+K
9711,42.32,23.1,N+K
9712,42.32,23.1,N+K
9713,42.49,25.61,N+K
9714,41.84,25.75,N+K
9716,41.54,24.98,N+K
9717,41.66,25.47,N+K
9718,41.55,24.75,N+K
9719,41.83,25.69,N+K
